#separator:Comma
#html:false
#columns:Front,Back,Tags
#tags column:3
"Cut chat serving cost per token by 2x without hurting quality -- in order.","Route easy traffic to a small model -> quantize + MoE -> raise MFU (batching/paging/speculation) -> cache -> cap output/context -> reserved + spot capacity.",systemdesign senior chatgpt
"Under a GPU shortage, what beats hard-failing requests?","Graceful degradation: fall back to a smaller/quantized model, shorten context, queue honestly with backpressure, and use a model fallback chain.",systemdesign senior chatgpt design
"What problem does RAG solve over a plain LLM call?","It fetches relevant evidence at query time and grounds the answer in it -- fixing stale knowledge, hallucination, and attribution (citations) without retraining.",systemdesign fundamentals rag
"Fine-tune vs retrieve -- when do you use each?","Fine-tune to change behavior/format/skill; retrieve to supply knowledge (fresh, attributable, access-controlled). They compose.",systemdesign fundamentals rag
"Dense vs sparse retrieval -- what does each catch?","Dense (embeddings) captures semantics/paraphrase; sparse (BM25) nails exact terms/IDs/rare words. Hybrid fuses both since each covers the other's blind spot.",systemdesign fundamentals rag
"What is reranking and why add it?","A cross-encoder scores query+doc jointly on the top-N candidates (e.g. 100->8) for a precision lift the fast bi-encoder can't give; cost is GPU latency.",systemdesign fundamentals rag
"Why must RAG access control happen at retrieval, not generation?","The LLM summarizes anything in its context; if an unauthorized doc reaches the prompt it can leak -- so filter to authorized docs during retrieval.",systemdesign fundamentals rag
"Two planes of a RAG platform, and why separate them?","Ingestion (async, throughput: parse->chunk->embed->index) vs query (sync, latency: rewrite->retrieve->filter->rerank->generate); opposite SLOs, meet at the shared index.",systemdesign core rag design
"Why is chunking the highest-leverage RAG knob?","The chunk is both what you match and what you feed the model: too small fragments context, too big dilutes the embedding and wastes tokens. Tune against the eval set.",systemdesign core rag
"How do you combine dense and sparse results?","Reciprocal Rank Fusion: sum 1/(k+rank) across retrievers -- rank-based so you don't calibrate incomparable scores; docs ranked high by both float up.",systemdesign core rag math
"Pre-filter vs post-filter for ACLs/metadata in retrieval?","Post-filter (retrieve then drop) wrecks recall and can leak existence; pre-filter inside the ANN keeps k valid results and is secure -- default to pre-filter for ACLs.",systemdesign core rag design
"How do you keep a RAG index fresh and handle deletes?","CDC streams changes -> re-embed only deltas, upsert by stable chunk id, version embeddings; deletes = tombstone now (exclude) + background purge across all stores.",systemdesign core rag
"How do you evaluate a RAG system?","Separately: retrieval (recall@k, MRR, nDCG vs a golden set) and generation (faithfulness, answer relevance, citation correctness); offline CI gate + online thumbs/abstention.",systemdesign core rag
"Right doc is in the corpus but never appears in the answer -- diagnose.","Walk the funnel: indexed? retrieved (raw candidates)? filtered out (over-broad ACL)? reranked down? or in-context but ignored (too long/poor order)? Fix the stage that drops it.",systemdesign senior rag debug
"Upgrade the embedding model with zero downtime -- how?","It invalidates every vector: dual-index -- keep serving old while a background job re-embeds the corpus into a new index, validate, then atomically swap (needs versioned vectors).",systemdesign senior rag
"Scale a vector index to 10B+ chunks?","Shard (scatter-gather + merge) and replicate; PQ-compress to fit memory; co-locate metadata for filtered search; dedicated shards for whale tenants; compact to fight fragmentation.",systemdesign senior rag
"HNSW vs IVF-PQ at platform scale?","HNSW: great recall/latency, high memory, fragments on updates. IVF-PQ: compressed/scalable, needs centroid training, lower recall. Pick by memory/scale vs quality/latency.",systemdesign senior rag
"A grounded RAG system still hallucinates -- drive it down?","Most hallucinations are retrieval misses -> fix retrieval first; then tighten the grounding prompt, verify citations, enable abstention, and measure faithfulness continuously.",systemdesign senior rag
"Defend RAG against indirect prompt injection?","Retrieved content is untrusted: delimit/label it as data, instruct the model to ignore instructions in context, sanitize, run least-privilege tools, and guard outputs.",systemdesign senior rag design
"Estimate storage for 1B chunks of 1024-dim fp16 vectors.","1024 x 2 B = 2 KB/vector -> 2 TB raw; HNSW overhead ~2-3x -> ~5 TB, sharded across ~50-100 nodes; PQ cuts vectors ~8-16x.",systemdesign senior rag math
"Why is decode memory-bandwidth-bound while prefill is compute-bound?","Prefill runs all prompt tokens in one parallel pass (matmul-heavy, reuses weights); decode emits one token/step, re-reading all weights from HBM for little math.",systemdesign fundamentals inference
"Arithmetic intensity, and why it forces batching.","Decode at batch 1 has intensity ~1 (move ~all weights per token) -> memory-bound, low MFU. Batching B reuses each weight load B times -> intensity ~B -> higher MFU.",systemdesign fundamentals inference math
"What is continuous (in-flight) batching?","Token-granular scheduling: each step finished sequences exit and queued ones join the running batch -- keeps the GPU busy despite varied lengths; biggest throughput lever.",systemdesign fundamentals inference
"Why does the KV cache cap concurrency?","It grows linearly with context x batch x layers x KV-heads, so at long context/high concurrency it -- not the weights -- runs out of HBM first, bounding batch size.",systemdesign fundamentals inference
"What is MFU and why is it the cost budget?","Model FLOPs utilization = fraction of peak FLOPs doing useful work; cost is GPU-seconds, so $/token scales as 1/MFU -- the engine exists to raise MFU at the SLO tail.",systemdesign fundamentals inference
"What does PagedAttention solve?","Naive per-sequence contiguous KV fragments HBM; paging stores KV in fixed non-contiguous pages with a block table -> ~no fragmentation, higher batch, prefix sharing.",systemdesign core inference
"The inference scheduler's three jobs?","Admission control (saturated -> queue/429, don't miss SLO), priority queues (interactive>batch, paid>free, fair), and KV-bounded batch formation with chunked prefill.",systemdesign core inference design
"How do you serve thousands of fine-tunes cheaply?","Multi-LoRA: keep one frozen base resident, apply per-request LoRA adapters (MBs) in-kernel, batch different adapters together -> thousands of fine-tunes at ~base-model cost.",systemdesign core inference
"Why an OpenAI-compatible API for an inference service?","The ecosystem already speaks /v1/chat/completions, so it is drop-in: zero client rewrites, instant tooling/SDK support; you compete on price/latency/models, not protocol.",systemdesign core inference
"What signals should you autoscale a GPU inference fleet on?","Queue depth, TTFT, and MFU/GPU saturation -- never CPU. GPUs start in minutes, so add predictive scaling + warm pools; reserved baseline + burst + spot for batch.",systemdesign core inference design
"What does prefix-aware routing buy you?","Routing requests that share a long prefix (system prompt / conversation) to the same replica hits its prefix cache, skipping re-prefill -> lower TTFT and prefill compute.",systemdesign core inference
"Why disaggregate prefill and decode onto separate pools?","Opposite bottlenecks that interfere (a big prefill stalls decodes -> p99); separate pools scale/tune independently, at the cost of shipping the KV cache between them. Else chunked prefill.",systemdesign senior inference
"Walk speculative decoding -- and when does it not help?","Draft proposes k tokens, target verifies in one pass, accept w/ min(1, p_t/p_d), resample residual -> 2-3x fewer steps. Fails if acceptance low or the batch is already compute-saturated.",systemdesign senior inference math
"A few long prompts are tanking everyone's TPOT -- fix?","Head-of-line blocking + KV hogging: chunked prefill, length-aware scheduling / separate pool, disaggregate prefill/decode, cap context, and admission-limit concurrent long requests.",systemdesign senior inference debug
"Estimate single-stream decode latency for 70B fp8 on 8xH100.","Bandwidth-bound: 70 GB weights / ~26 TB/s ~2.7 ms/token (~370 tok/s); batched ~10K tok/s/node -- why batching is mandatory.",systemdesign senior inference math
"KV bytes per sequence -- the formula and what it caps.","2 x L x h_kv x d_head x seq x dtype (2 = K and V). At long context it caps batch, so batch formation is KV-memory-bounded; shrink with GQA/MQA + KV-quant.",systemdesign senior inference math
"Speculative decoding made throughput worse -- why?","It adds draft+verify cost and only pays off at high acceptance with spare compute; under large batches the GPU is already saturated -- disable speculation when the batch is big.",systemdesign senior inference debug
"Scale-to-zero cold models without hurting warm-model SLOs?","Pin hot models warm; cold models load on demand (accept a cold start); keep a shared warm GPU pool, predictively preload scheduled models, and isolate loading from warm replicas.",systemdesign senior inference design
